Ticker,Date,Open,Close,High,Low,Volume
GOOGL,2025-02-03,200.65,201.28,203.74,200.18,1012960
GOOGL,2025-02-04,203.21,206.23,207,202.82,1445515
GOOGL,2025-02-05,191.14,191.36,192.7,188.04,2244041
GOOGL,2025-02-06,189.2,191.53,192.1,188.73,964947
GOOGL,2025-02-07,191.05,185.36,191.18,183.24,1484085
GOOGL,2025-02-10,187.35,186.39,188.18,185.88,820549
GOOGL,2025-02-11,185.04,185.33,186.91,184.3,667693
GOOGL,2025-02-12,183.43,183.57,185.06,181.83,810265
GOOGL,2025-02-13,184.22,186.12,186.28,183.11,599823
GOOGL,2025-02-14,185.07,185.18,186.4,184.31,751054
GOOGL,2025-02-18,185.65,183.74,185.9,181.75,957809
GOOGL,2025-02-19,184.22,185.26,185.46,183.59,627772
GOOGL,2025-02-20,184.8,184.59,185.29,182.75,630085
GOOGL,2025-02-21,185.15,179.67,185.29,179.1,1105770
GOOGL,2025-02-24,181.91,179.33,183.07,178.89,1025232
GOOGL,2025-02-25,178.03,175.48,178.74,174.72,1491330
GOOGL,2025-02-26,175.08,172.73,176.07,171.59,1696037
GOOGL,2025-02-27,173.96,168.41,174.5,167.94,1592292
GOOGL,2025-02-28,168.64,170.36,170.61,166.78,1417481
GOOGL,2025-03-03,171.93,167.04,173.36,165.94,1625850
GOOGL,2025-03-04,166.34,170.94,173.28,165.82,1690458
GOOGL,2025-03-05,170.44,173.03,173.77,169.07,1922609
GOOGL,2025-03-06,170.54,172.35,174.8,170.52,1094477
GOOGL,2025-03-07,171.32,173.81,174.95,170.28,1102198
GOOGL,2025-03-10,168.3,165.9,168.45,163.69,1886240
GOOGL,2025-03-11,164.84,164.04,166.73,161.37,1145394
GOOGL,2025-03-12,166.58,167.04,167.63,163.56,778542
GOOGL,2025-03-13,166.05,162.75,166.12,162.12,761211
GOOGL,2025-03-14,163.28,165.42,165.93,162.5,2041578
GOOGL,2025-03-17,165.3,164.3,166.3,163.69,1184992
GOOGL,2025-03-18,163.67,160.67,164.25,156.73,1652265
GOOGL,2025-03-19,161.8,163.92,165.87,161.01,1003875
GOOGL,2025-03-20,161.69,162.82,164.88,160.98,908976
GOOGL,2025-03-21,161.28,164.08,164.22,160.9,674249
GOOGL,2025-03-24,167.04,167.6,167.9,165.18,911772
GOOGL,2025-03-25,168.95,170.57,170.63,168.34,802034
GOOGL,2025-03-26,168.99,165.11,169.58,164.84,884076
GOOGL,2025-03-27,164.6,162.22,165.39,162,804039
GOOGL,2025-03-28,160.61,154.37,161.82,153.64,1699079
GOOGL,2025-03-31,153.09,154.6,155.43,150.67,1680316
GOOGL,2025-04-01,153.76,157.01,158.09,153.76,1302041
GOOGL,2025-04-02,155.2,156.98,158.4,154.71,959613
GOOGL,2025-04-03,151.11,150.73,152.76,150.41,1855567
GOOGL,2025-04-04,148.18,145.61,151.06,145.39,2468404
GOOGL,2025-04-07,141.55,146.65,152.74,140.61,3144559
GOOGL,2025-04-08,151.18,144.65,152.23,143.04,1812439
GOOGL,2025-04-09,144.32,158.73,159.55,143.91,2670007
GOOGL,2025-04-10,156.58,152.82,157.69,149.95,2503365
GOOGL,2025-04-11,153.05,157.01,157.55,153.05,1466265
GOOGL,2025-04-14,160,159.1,161.71,157.57,1361931
GOOGL,2025-04-15,159.12,156.29,159.65,155.21,1747788
GOOGL,2025-04-16,153.1,153.36,155.88,151.51,1019175
GOOGL,2025-04-17,154.24,151.18,154.67,148.53,1259845
JPM,2025-01-02,240.77,239.99,243.23,239.45,187528
JPM,2025-01-03,243.59,243.27,244.87,240.34,230867
JPM,2025-01-06,244.03,240.97,245.68,240.59,416251
JPM,2025-01-07,241.85,243.22,245.25,240.94,321222
JPM,2025-01-08,242.5,243.11,244.19,240.53,242827
JPM,2025-01-10,243.1,239.89,243.67,238.73,329843
JPM,2025-01-13,239.45,244.14,244.42,239.2,310172
JPM,2025-01-14,242.27,247.46,247.71,242.27,474552
JPM,2025-01-15,250.85,252.32,253.62,243.98,518849
JPM,2025-01-16,254.61,254.24,257.12,252.37,476830
JPM,2025-01-17,254.31,259.43,260.59,252.16,408252
JPM,2025-01-21,260.34,263.16,264.25,259.6,274363
JPM,2025-01-22,262.88,262.79,263.38,260.38,225677
JPM,2025-01-23,264.63,265.84,266.81,263.81,304606
JPM,2025-01-24,263.8,264.74,267.07,263.67,302091
JPM,2025-01-27,264.17,265.9,265.95,262.28,352399
JPM,2025-01-28,265.8,267.16,267.32,264.88,217143
JPM,2025-01-29,267.32,266.58,270.64,265.69,229739
JPM,2025-01-30,268.41,268.29,269.7,266.65,238741
JPM,2025-01-31,269.16,267.32,270.77,266.96,237235
